ID,Sentence
3718,Affricans to destroye robbe and brenne townes / & destroye all then∣g in asmoche as they myght & spared neyther man woman ne chylde lerned ne lewde / But all they slewe / & caste downe townes castels & chirches / & so put they all the londe in grete de¦struccyon.
3719,And as soone as they myghte flee / they fledde thens as well poore as ryche / bys∣shops / abbottes / chanons / & all other grete & smal / some in to lytell Brytayne / & some in to Cornewayle / all tho ye shyppes myghht haue.
3720,Gurmonde droue kyng Cortyf to Chechestre / & slewe the Brytons / & thrugh crafte & engyne gate the same towne.
3721,COrtyf the kyng fledde thens in to Che∣chestre that tho was stronge / and there helde hym .xx.
3722,dayes / & this Gurmonde came and it besyeged.
3723,But the cytee was so stronge that he myght not gete it by no maner of wy∣se with engyne that they myght doo.
3724,Tho be∣thought they vpon a subtylte for to brenne the towne.
3725,They made engynes wyth glewe of nettes / & toke pecys of thunder & of fyre & bon∣de it to sparowes feet & than lete them flee and they anōe flewe & lodged thē in ye towne ther yt theyr nestis were / & in stackes & euesynges of houses / & ye fyre began to kyndle & brente all ye towne / And whan the.
3726,Brytons sawe that in euery syde they hyed them out & fought / but a¦none they were slayne and dyscomfyted / And whyle batayll dured the kynge pryuely hydde hym and stale awaye in to walys / & men wyst neuer where he became / and soo was the tow∣ne of Chechestre taken and destroyed.
3727,Gurmonde wente and destroyed townes and cytees that neuer were after made ayen / as it is seen yet in many places of thys londe.
3728,¶How thys londe was called Englonde for the name of Engyst / & how many kynges were made after in thys londe.
3729,Gurmonde had destroyed al the londe thrugh out: he yaue the londe to the Saxons: & anone they toke it with good wyll / for the Saxons longe tyme had desyred it.
3730,For asmoche as they wereof.
3731,Engist{is} kyn∣red that fyrst had all the londe of.
3732,Brytayne & lete them be called.
3733,Englyssmen: for by cause of Engistes name: & the lond they lete call En¦glonde in theyr langage: & the folke ben called Englyshmen: for asmoche as in thys tyme it was called Engist{is} londe whan he had cōque∣red it of.
3734,Vortiger: that spoused hys doughter But fro the tyme yt Brute came fyrst in to En¦glonde: thys londe was called.
3735,Brytane: and the folke Brytons.
3736,But syth the tyme yt thys Gurmonde conquered it eftsones and yaue it vnto the.
3737,Saxons: they anone ryght chaūged the name as before is sayde.
3738,And whan thys was done.
3739,Gurmonde passed ouer in to Fraū∣ce: & there conquered many londes: & destroy∣ed all cristen peple there that he came.
3740,And the Saxons dwelled in this londe and began fast to enhabyte it at ther owne wyll.
3741,And they wol¦de haue made newe kyngis & lordes: but they myght neuer assent to haue only oo kynge for to be to them attendaunt / & therfore they ma∣de many kynges in dyuerse shyres: as it was in Engistes tyme.
3742,The fyrste kyngdome was Kente: & that othe.
3743,Southsexe: and the thyrde westsex / the fourth Eestsex / & the fyfth Nothū¦berlonde / and ye sixth Estangle that is to saye Northfolke / and Southfolke and the seuenth Mercheryche / and that is the Erldoste of Ny∣choll.
3744,wer wyke & Derby / and so departed all Englond in to .vii.
3745,¶And after that it befell that tho kyng{is} warred oft tymes togy¦der.
3746,And euer he that was strongest toke hym that was feblest / and soo it was longe tyme yt they had noo kynge crowned amonge theym / ne no crysten man was tho amonge them / ne crystendome nather.
3747,But were paynems tyll that saynt Gregory was pope of: Rome / that had seen childern of the nacyon of Englonde in the cyte of Rome / that were wonder fayre creatures / & had grete wyll and desyre theym to beholde.
3748,And axed of ye marchaūtes whens they were / and of what nacyon.
3749,And men tol∣de hym that they were of Englonde / and In∣glysshe they were called / but they & all the peo¦ple of Englonde were paynems: and byleued not vpon god.
3750,¶Alas sayde saynt Gregory: well maye they be called Englysshe: for they haue the vysages of angels and therfore well ought they to be crystened.
3751,And for this cause saynt Gregory theresente saynt.
3752,Austyn in to Englōde & .xl.
3753,good mē with hym that were of good lyf & holy men to preche & teche & to com∣uetre the Englysshe people & them to torne to god: & that was in the .vi.
3754,yere that saynt Gre∣gory had be pope of Rome / that is to saye / of∣ter thyn carnacyon of our lorde Ihesu Cryste .v.C.lxxxv.
3755,yeres as the Cronycle telleth.
3756,¶How saynt Austyn baptysed and con∣uerted kynge Adelbryght and the bysshop¦pes that he made his felowes.
3757,AS saynt Austyn came fyrste in to.
3758,En∣glonde / he arryuen in the yle of Tenet and so passed forth & came vnto Caunterbury and there soyourned.
3759,And kynge Adelbryght of Kent that was the lygnage of Engist good∣ly receyued saynt Austyn & hys felowes wyth moche honour / and them foūde all that them neded.
3760,And more ouer he yaue theym a fayre place / that now is called the abbay of.
3761,Shynt Austyn / in whiche place he lyth hym self shry∣ned.
3762,¶This kynge Adelbryght was a good man & wyth good wylle herde saynt Austyns predycacyons / and yaue hym leue to preche thrughout all hys londe before sayd of Kente / to torne and conuerte to hym all ye people that he myght.
3763,¶It befelle soo after thorugh god∣des grace / that in lytell tyme the kynge hym∣self was conuerted to god / and all hys peop of his londe were baptysed.
3764,And in the meane whyle the peple torned them to god.
3765,¶Saynt Austyn came to.
3766,Rochestre / & there he preched the worde of god.
3767,And the paynems therfore hym scorned / and caste vpon hym reygh tayl∣les / so that all his mantell was hanged full of these reygh tayles / and for more dyspyte / they caste vpon hym the guttes of reyghes & other fysshe.
3768,wherfore the good man Saynt Austyn was sore anoyed and greued.
3769,And prayed to god that all tho chyldern of that cyte that shol¦de be borne after warde / that is for to saye in the of Rochestre / myght haue taylles and soo they hadde And whan the kynger herde of this vengeaunce that was falle thrugh saynt Au∣styns prayer.
3770,He lete make an house in the ho∣nour of almyghty god / wherin wymmen shol¦de be delyuered of theyr childern at the bryges ende / In the whiche hous yet wymmen of the cyte ben delyuerde of chylde.
3771,¶whan that sa∣ynt Gregory hadde hrede tell how the Englys¦she people were torned to god & comuerted he sente vnto saynt.
3772,Austyn his pallyon by a bs∣shop / that was called Paulin and made hym Prymate & Archebysshop of Englonde And sente worde that he sholde ordeyne & make dys¦posynge the londe.
3773,And anone Austyn had the pallyon of the dygnyte of the Archebysshyp.
3774,He made two bysshops of his felowes that ca∣me with hym fro Rome & one was called Mel∣lite & he dwelled at London & that other was called Iustin that helde the dygnyte at.
3775,And this bysshop Mellite tho went to pre¦che in to Estsex and erystened the kynge of the countree that was called Sicwith that was kynge Adlebrytes cosyn hys systers sone.
3776,¶Thys Iustyn wente to preche in Southse and torned moche of the people to god.
3777,And Saynt Austyn hymselfe preched thorugh out Englonde.
3778,¶How saynt Austyn wente in to waels there the Brytons were / & how they wolde not beo¦bedyent tothe.
3779,Archebysshop of Caūterbury.
3780,SO whan all Englonde was crystened and torned to god / saynt Astuyn went in to that londe there that the Brytons were for to kepe them frome Englysshmen / that is▪ to saye in to ways.
3781,And there he founde mon∣kes & abbayes and .vii.
3782,For ye Bry∣tons alwaye destroyed the crysten people that saynt Austyn had conuerted.
3783,And he sayde to the bysshops that he was a Legate of Rome & Prymate of all.
3784,Englonde / & that they sholde by all reason to hym be obedyenc & they sayde they nolde / but to the.
3785,Archebysshop of Carly∣on they wolde.
3786,They wolde neuer for noo ma¦ner thynge be obedyent to the Englysshe men For the Englysshemen they sayde ben our ad∣uersaryes & our enmyes & haue dryuen vs out of our countree / & weben crysten men & euer haue be.
3787,And the Englysshemen haue euer be paynems / but now of late that they ben con∣uerted.
3788,¶Saynt Austyn of them myght haue none answere otherwyse / but sayd pertly that they wolde neuer them meke to hym / ne to the pope of Rome.
3789,And saynt Austyn torned ayen tho to kynge Adelbryght yt was kynge of Kent and tolde hym that hys folke wolde not be to no man obedyent / but to the.
3790,Archebysshop of Carlyon.
3791,And whan the kynge herde thys / he was sore anoyed & sayd that he wolde them de¦stroye / and sent to Elfryde kynge of Northun∣berlonde that was hys frende / that he sholde come to hym with al the power that he myght and that he wolde mete hym at Leycetre / and fro thens they wolde go in to walys / and the∣re destroye the Archebysshop of Carlyon / and all tho that had refused saynt Austyn ¶How kynge Adelbryght and the kynge Elfryde slewe Brecinall that was a kynge of Brytons that helde the countree of Leycetre.
3792,IT be tell soo that there was a kynge of Brytons that helde the countree of Ley¦cetre and alle the countree aboute / hys name was Brecinall.
3793,And this Bryton herde telle that tho two Englysshe kynges wolde mete there at Leycetre for to goo in to walys.
3794,He le∣te ordeyne all the power that he had for to goo fyght with these two kynges / but lytel it auay¦led hym / for his folke that he had were slayne and hymself fledde / & loste his londes for euer more.
3795,¶And these two kynges Adelbryght & Elfryde dwelled a whyle at Leycetre / and de∣parted the londe amonge them / and tooke ho∣mag{is} and feautees of the folke of the countree And after they wente to warde walys and thot of walys herd telle of thes comfyture that Bre¦icall had at Leycetre / and were wonder for adrad of tho two kynge{is}.
3796,And tooke and those amonge them good men and hooly of hemytes monkes and preestes / & of other people grete plentye that wente bare foote and wulwarde for ta haue mercy of thes two kynges / but tho kynges were so sterne & so wyked yt they wold neuer speke to thē but them slewe euerychone Alas for sorowe / for they ne spared them noo∣more than the wulfe dothe the shepe / but smot of theyr heedes euerychone / & so they were all martrd that to them came / that is to vnder∣stande .v.C.
3797,After they wente fro thens to Bangor for to slee all those that ther myghte there fynde of the Brytons.
3798,And whan ye Bry¦touns herde that / they assembled and ordened all ther power for to fyght with thyem.
3799,Two was there a baron in walys that was called.
3800,Bledrik of Cornewayle that some tyme was lorde of Deuenshyre but the kynge.
3801,¶Adel∣bright had dreuen hym out in to walys and af¦ter there he yaue them batayll.
3802,And at that ba¦tayll was kynge Adelbright slayne and Efry∣desore woūded & forsoke the felde / & the moost partye of his people slayne.
3803,And Elfryde flede in to Northumberlonde that was his owne lō¦de· ¶And after that the people of Leycetre shy¦re made with strenght Cadewan yt was Bry∣cinals sone kynge of Leceytre / And he after∣regned nobly and with grete honour.
3804,¶How Cade wan kynge of Leycetre & El∣fryde kynge of Northumberlonde were fren∣des / & of the debate yt after was bytwene Ed∣wyn & Cad walyn that were both theyr sones ANd after that thys bataylle was done yt Brytons assembled them and wente thens and came to Leycetre / and made there Caudewan that was Brecinals sone kynge of Leycetre and of all the countree.
3805,Aed he toke homages & feautes of all the folke of the coun∣tree.
3806,And after that he assembled a grete hoste and sayde he wolde goo in to Northumberlon∣de / to destroy kynge Elfryde and sle hym yf he myght.
3807,And whan he was come thether / fren∣des wente so bytwene them that they accorde them in this manere / that Elfryde sholde hol∣de all the londe fro Northumberlonde to Scot¦londe.
3808,And Cadewan sholde haue all the lon∣de a thys syde Humbre to the Southe / and af∣ter they were good frendes all theyr lyf / and lo¦ued as they had ben brethern.
3809,¶And thys El¦ryde had a sone called Edwyn that helde all the londe of Northūberlonde after his fathers dethe as his fader hadde holde all his lyf tyme ¶And Cadewā had another sone called Cad¦walyn that helde his faders londe as he it hel∣de whyle he was alyue / and these loued as bre∣theren.
3810,And ye loue lasted betwyxt them but on¦ly two yere / & after began debat betwyxt them throughe a synple enuyous cosyn of Cadwa∣lins.
3811,called Bryens / so yt they assembled a gre∣te hoste in bothe partyes.
3812,And at the laste it be fell ye Cadwalin was dyscūforted / & Edwen hym pursued & droue hym fro place to place so at the last he fledde in to Irelonde.
3813,And ye other destroyd & pylled his londe / and cast downe ca¦stels & brente his maners / & departed all Cad∣walins londe amonge his frendes.
3814,And longe tyme after came Cadwalen ayen fro Irlonde with a stronge pour / and in playne batayll sle∣we Edwyn & all his frendes / & namely tho yt with helde his londes by Edwyns yefte.
3815,¶How kynge Oswallde was slayne thoughe kynge Cadwalin and Peanda / and howe Os¦wy that was saynte Oswaldes broder regned after hym and slewe Peanda.
3816,AS Edwyn was slayne.
3817,Offris his so∣ne vndertoke that warre ayenste Cad∣walin his came / so yt this Offris deyed duryn∣ge ye warre.
3818,And after ye dethe of this Offris tho regned a gentyl crysten man that moche loued god almyghty yt had all the londe of Northum¦brelonde by herytage / yt was called Oswalde & he was kynge of all the londe.
3819,But for as mo¦che as he was frende to Edwyn / and helde a grete parte of the londe of Cadwalin.
3820,This sa¦me cadwalyn warred vpon hym & droue hym to warde Scotlond.
3821,And whan Cadwalin sa¦we that he wolde not abyde.
3822,Cadwalin wolde no lenger hym pursue / but toke some of his fol¦ke to Peanda his broder in lawe & prayed hym to pursue after Oswalde / tyl that he were takē & slayne / and Cadwalin toruned home ayen.
3823,¶whan Oswalde herde these tydynges that Cadwalin tourned home ayen / he wolde no lē¦ger flee / but abode Peanda & yaue hym bata∣yll / and Peanda was dyscomforte & fledde & came ayen to Cadwalyn & sayde that he wolde neuer holde one fote of londe of hym / but yf so were that he wolde auenge hym of Oswalde.
3824,¶Cadwalin lete assemble a grete hoste for to fyght with Oswalde soo that he and Peanda came to Northumberlonde & yaue batayll vn∣to Oswalde And in the same batayll was Os∣walde slayne & his heed smyten of / & after he was entered at the abbay of Berdenay in whi¦che place god hadde wrought for hym many a fayre myracle / bothe there and elles where.
3825,¶And anone Oswy his brother seased all the londe in to his honde that was this Oswaldis And the folke of Northumberlonde loued him wonderly well / and helde hym for theyr lorde.
3826,But he had men of his kynne worthy ynough that wolde haue departed the londe / and they warred togyed well.
3827,And for asmoche as they were not stronge ynoughe / they came to Pean¦da and prayed hym of helpe & socour.
3828,And be∣hyght hym of ye lōde largely vpō this couenāt that he wold them gouerne & helpe / & counseyl ¶Peanda herde theyr prayer & so spake with Cadwalyn / that he sholde ordayne a grete host and faste ordeyned hym in to Northumberlon¦de for teyght with Oswy.
3829,And Oswy was a meke man / & moche loued peas & charyte and prayed Peanda of loue & peas and profeede hym of golde and syluer grete plentye.
3830,¶And this Peanda was so proude yt he nolde graunt hym peas fo no maner thynge but for all thyn¦ge he wolde with hym fyght.
3831,So at the laste there was sette a daye of batayll.
3832,And Oswy e¦uer trusted vpon god and Peanda trusted to∣moche vpon pryde and vpon his hoste that he had.
3833,And to gyder they smote egerly but Pean¦da was anone dyscomforted and slayne.
3834,And this was After the Incarnacyon of oure lorde Ihesu Cryste .v.C.lv.
3835,yere And this Oswy reg¦ned .xxviii.
3836,yere And a kynge that was called Oswyne / that was Peandaes cosyn warred vpon hym and togyder fought / But Oswy hadde the victory of Oswyne.
3837,And Oswyn was dyscomforted and slalyne / and lyeth at Tynnemouth.
3838,¶How kynge Cadwaldre that was Cad∣walins sone regned after his fader / and was the laste kynge of Brytons.
3839,AFter the deth of Cadwelin regned hys sone Cudwaldre well and nobly.
3840,And his moder was ye syster of Peanda.
3841,And whan he had regned .xii.
3842,yere / he felle in to a grete sy∣kenesse / & thenne was there a greate dyscorde bytwene the lordes of the londe / that euery of them warred vpon other.
3843,And yet in that ty∣me there fell so grete derth & scarsyte of corn & other viteylles in this londe / that a man my∣ghte go .iii.
3844,dayes fro towne to towne yt he sholde not fynde to bye for golde ne syluer brede / wyne ne none other vitayle where wich a man myght lyue.
3845,But onely the people lyued by rotis of herbes / for other lyuynge had they none / so moche was it faylled all aboute / Fys∣shes / wylde bestes / & all other thynge soo that yet to this mysauenture / there felle soo greate mortalyte and pestelens amonge the people by the corrupcyon of the ayre that ye lyuynge peo¦ple suffysed not to burye the deed bodyes.
3846,For they deyed soo sodenly / bothe grete and smalle lorde & seruaunt / in etynge goynge & spekynge they fell downe and deyed / so that neuer was herde of more sodeyne deth amonge the people For he that wente for to burye the deed body / with the same deed body was buryed.
3847,And soo they that myght flee fledde & forsoke theyr lon∣des and houhes / as welle for the grete hungre derth & scarsyte of corne & other vitayll / as for the grete mortalyte & pestylence in the londe / & wente into other londes for to saue theyr lyues and lefte the londe all deserte & wast / so yt there was noman for to trauayle & tylthe the londe So that the londe was barayne of corne & all other fruytes for defawte of tyllyers / and this mysauenture dured .xi.
3848,yere and more that no∣man myght ere ne sowe ¶How Cadwaldre wente out of this londe in to lytell Brytayne.
3849,CAdwaldre sawe grete hungre mortaly∣te & pestylence / and the londe all poore / & faylynge cornes ād other vytaylles / and his folke perysshed / & sawe also the mooste partye of his londe all wasted & voyde of people.
3850,He apparelled hym and his folke that were lefte alyue / and passede ouer in to lytell Brytayne with a lytell nauy vnto kynge Alayne that he moche loued / that was his cosyn and that his fader hadde moche loued in his tyme.
3851,And as they sayled in the see / he made moche lamen∣tacyon / and so dyde alle tho that were with hym and sayde.
3852,(Dedisti nos domine tanquan oues escarū.
3853,et in gentibus dispersisti nos) ANd thenne began Cadwaldre to com¦playne hym to his folke pyteously and sayd· Alas sayd he / to vs wretches & caytyues is sorowe for our grete synnys / the whiche we wolde not amende vs whyle we had space / & now repentaunce is comen vpon vs throughe my sauenture / whiche chaced vs out of oure reame and propre soyle.
3854,And out of the whiche somtyme Romayns.
3855,Saxons / ney∣ther Danys myght not exyle vs.
3856,¶But what auaylleth it now to vs that before tyme / oft ty¦mes haue goten many other londes / syth it ys not the wyll of god that we abyde and dwelle in our owne londe.
3857,God that is very Iuge yat all thynges knoweth before they ben done or made / he seeth that we wolde not cesse of oure synnes / and that our enmyes myghte not vs ne our lygnage exyle fro / and out of our reame He wolde that we amende vs of oure folyes and that we see our propre defautes.
3858,And therfore hath shewed to vs wrathe / and woll chastyse vs of our mysdedes.
3859,Syche that he doth vs with out batayll / or strength of our enmyes / by grace companyes / wretcchedly to leue our reame & propre londe.
3860,¶Torne ayen ne ye Romanys / torne agayne ye Scottes tor∣ne agayne ye Saxxons / torne agayne ye Fraū¦soys.
3861,Now seweth to you Brytayne all deserte the whiche your power myght neuer make de∣serte / ne yet oure power hathe not put vs now in exyle But onely the power of the kynge all∣myghty whom we haue often offended by our folyes / the whiche we wolde not leue vntyll he chastyced vs by dyuyne power ¶Amonge the worldes & lamentacyon that the kynge Cad∣whldre made to his folke / they arryued ī lytell Brytayne / and came to kynge Alayne before sayd ¶And the kynge receyued hym with gre¦te Ioye / and made hym to be seruede wonder nobly.
3862,And there abode they longe tyme after ¶The Englesshe people that were left a lyue and were escaped the grete hungre and morta¦lyte / lyued in the best wyse that they myght.
3863,And moche people sprange and came of them ¶And they sente in to Saxonye where that they were borne to ther frendes for men / wye∣men / and chyldren / to restore the cytees with people and the townes that were all voyde of people / and for to laboure / traueyll and tylthe the erthe.
3864,¶whan the Saxons herde these ty∣dynges / they came in to ye londe wonder thye∣ke in grete companyes / and herborowed ther∣selfe in the countree all aboute where that they wolde / for they founde no man them for to let∣e ne withstonde.
3865,And so they waxed & multe∣plyed gretely.
3866,And vsed the maners and custo¦mes of the countree wherof they were come.
3867,And they vsed also the lawes and the langa∣ges and speche of theyr owne londe that they came fro.
3868,And also they chaunged all the na∣mes of Cytyes / twones / castelles / & brought / & yaue them names and called as they nowe ben called And they helde the Counrees.
3869,Barona∣ges & lordeshyps in manere as the Brytons be¦fore tyme had compassed them / And amonge other grete companyes that came frome Ger∣mayne in to this londe / came the noble quene that was called Seburga with men & wym∣men without nombre· And arrayed in the coū¦tree of Northumberlonde / and tooke the londe frome Ilbion vnto Cornewaylle for her & for her folke.
3870,For there was none that myght thē lette / for alle was desolace & voyde of people / but it were a fewe poore Brytons that were lefte on mountayns & woddes vntyll that ty∣me.
3871,¶And fro that tyme forthe loste the Bry¦tons this reame for all theyr dayes.
3872,And the Englysshe people begane to regne / and depar∣ted the lōde bytwene them.
3873,And they made ma¦ny kynges aboute by dyuerse partyes of the londe as here ben dyuyded.
3874,The fyrst of weste¦sexe / The second Merchenriche / The thyrde Estangle / the fourthe Kente / the fyfth South∣sex.
3875,All those regned in this londe after ye Cad∣waldre was passed out of this londe / & dwelled in lytell Bryten with kynge Alayne his cosyn and true frende.
3876,And whan he had longe dwel¦lede there / and had knowynge that the morta∣lyte and pestelence was ouerpassed / & that the londe was replenysshed / ayen wyth people / he thought to torne ayen in to his londe And pray¦ed kynge Alayne his cosyn of socour & helpe yt he myghte be restored ayen to his owoe propre reame and fyrste dygnyte / And kynge Aleyne graunted hym his askynge.
3877,¶Thenne dyde he appareylle hym to take his wayt and vya∣ge in to this londe.
3878,And prayed god allmyghty deuoutly that he wolde make to hym demon∣stracyon / yf his prayer to this londe were too hyme plesaunt or none / for ayenste the wyll of god allmyghty he wolde no thynge do.
3879,¶whā he had thus deuoutly made his prayer / avoys fro heuen to hym sayd.
3880,And hadde hym leue ye Iurney a waye in to Englonde / and that he sholde goo to the pope of Rome for it was not the wyll of almyghty god yt the Brytons shol∣de regne more in Brytane / ne neuer recouered it vnto the tyme of the prophecye that Marlyn sayd before he fufylled.
3881,And that sholde neuer be vnto ye tyme were come / that the relyques of his body shall be broughte fro Rome & trans¦lated in to Brytayne / And whan the ralykes of other sayntes that haue ben hedde for ye per∣secucyon of the paynem folke shall be founde & openly shewed / thenn shalle they recouer theyr londe agayne / the whyche they haue soo longe tyme loste throughe theyr desertes.
3882,¶whane Cadwaldre hadde herde this answere / he mar¦uayled gretely and tolde it to the kynge Aleyne ¶Thene kynge Aleyne dyde sende for the cler¦gye of his londe / and made them to brynge the storyes and prophecyes that Merlyn and Sy¦byll had sayd in theyr prophcyes.
3883,And whan he knewe that the prophycye that Festom had prophecyed of the Egle.
3884,And other prophecyes accorded to the dyuyne aunswere that Cadde∣walldre had herde.
3885,He counselled hym & ryght faythfully desyred hym to leue his people and his nauy / & submytte hym to the dyspocysyon of god / and do all that the aungell had cōmaū¦ded hym.
3886,¶Thenye Cadwaldre called yor his sone and ymori his cosyn that was his sys∣ters sone / & sayd to them.
3887,Taketh sayde he my folke & my nauy that is here all redy / & passe into walys and be ye lordees of Brytons that no dyshonoure come to them by interrupcyon of the Paynem folke for defaute of lordes.
3888,¶And thene hymselfe lefte his reame of Bry¦tayne and his folke for euer more / and tooke his waye vnto the pope of Rome Sergius the whyche worshypede hym moche / and so he w¦as confessed / and toke penaunce for hys syn∣nes.
3889,And he had not longe dwelled there that he ne deyed / the .xii.
3890,Kalendis in Maye the yere of grace .v.C.lxxii.
3891,¶How kynge Offa was souerayne aboue all the kynges of Englonde / and how euery kyn∣ge warred vpon other.
3892,IT befell so that all the kynges in that ty∣me that were in yu londe.
3893,as they of west¦sex.
3894,Estangle / of kente / and of Southsex and of other costes eche warred vpon other And he that moste myght toke the londe of hym that was mooste feblest.
3895,¶But there was a kynge amonge them that was cal¦led Offa / that was saynte Oswaldes brother.
3896,This Offa conquered all the kynges of ye lon∣de / and regned all aboue them all.
3897,¶And s gret was the yt warre in euery there bytwene grekes / that no mā myght wyte how the lond wente.
3898,But abbottos pryours / & men of Rely¦gyon wrote yt lyues & dedes of kynges / & how longe euery of theym regned & in what coūtre & in what manere euery kynge deyed / & of bys¦shops also.
3899,And therof made grete bokys and lete calle them Cronycles.
3900,And the good kyng Alured had that booke in his warde.
3901,And lette brynge it vnto wynchestre / and lete it be faste tacked to a pylar that men sholde it not reme∣ue / ne bere it thens / so that euery man sholde it see & therupon loke For therin ben the lyues of all the kynges that euer were in Englonde.
3902,¶How the kynge of Northumberlon∣de Osbryght forlaye the wyf of Buer¦ne Bocarde thrugh strength / and after this Buerne conquered the kyng with power and strength.
3903,ANd thus it befell in ye same tyme / that there was a kyng in Northumberlond e that was called Osbryght / and soyourned atte yorke.
3904,¶And this kynge wente hym vp∣pon a daye in to a wood hym for to / dysporte.
3905,And as he came ayen / he wente pryuely in to a good mannes house / that was called Buer∣ne / and the good man of that place was gone that tyme to the see.
3906,¶For oftentymes there he was wonte to spye theues and robbers that oftentymes were wonte to come in to the lon¦de / to robbe / brenne / and slee.
3907,The lady that was Buernes wyfe was a wonder fayre wo∣man.
3908,¶And the kynge came vnto her whan that herhusbode was absente / and she trusted none harme vnto the kynge / and welcomed hym with moche honour / and worthely hym serued in all thynge.
3909,¶whan the kynge hadde eten / he tooke the lady by the honde and adde her in to a chambre and sayde.
3910,He wolde speke with her a counseyll.
3911,And all the folke he made voyde fro the chambre / saue only the lady and he.
3912,But the lady wyst not wherfore he it dyde / tyll that he had done alle hys wyll.
3913,And whan he hadde done this dede / He torned agayne to yorke.
3914,And the lady he lefte there sore wepyn∣ge for the dede that the kynge to her had done.
3915,¶And whan he lorde was came home and sawe her wepe and suche sorowe and mornyn¦ge make / he axed of her what she hadde done / and why she made suche sorowe.
3916,¶Syre she sayde / subtylly and falsely the kynge Osbry∣ght hathe doo me shame and vylanye ayeast my wyll.
3917,And tolde hym all the truthe how the kynge had orlayne her with strengthe / wher∣fore she sayde she hadde leuer to be deed than tolyue.
3918,¶Fayre loue be stylle sayde he / for a∣yenst strengthe feblenesse is yltell worthe / and therfore of me shalte thou neuerthelesse belo∣ued and namely for thou hast tolde me the treu¦the.
3919,And yf almyghty god graūt to me my lyf I shall the aueng.
3920,¶This Buerne was a gre¦te man and a myghty lorde / and was well be∣loued and grete frendes hadde.
3921,And lete sende for the grettest lordes of the londe / and to them made hes complaynte of the despyte / that the kynge to hym hadde done and sayde / he wolde be auenged how euer yt were.
3922,And all hys fren¦des counseylled hym that he sholde goo vnto yorke there that the kynge was hym to defye.
3923,And Buerne toke his mayne and came to the kynge.
3924,whan the kynge hym sawe / he called hym curtously Buerne by name.
3925,And Buer∣ne hym answerred to hym sayde.
3926,Syre I you defye / and yelde vp feautes homages and lon¦des / and as moche as I haue holden of you / & fro this tyme for warde I wyll neuer of the no¦thynge holde.
3927,And soo he departed fro the kyn¦ge without more speche or ony abydynge and tooke leue of his frendes and went in to Den∣marke / and playned to the kynge Godern / & tolde hym of the despyte of that the kynge Os∣bryght to hym hadde donne of his wyfe.
3928,And prayed hym of socour / and helpe hym for to a∣uenge.
3929,¶whan kynge Godern of Denmarke and the danys hadde herde the complaynt of thys Buerne / and the prayer that he badde / they were ryght wonder glasde in theyr her∣tes / for as moche as they myght fynde a cause for to goo in to Englonde for to warree vpon Englesshe men / and for to aenge Buerne of the despyte that the kyng Osbryght hadde do¦ne vnto hys wyf.
3930,And for as moche as Buer∣ne was sybbe vto the kynge of Denmarke / anone they lette ordeyne a greate hoste of men and lete ordeyne theym shyppes / and as mo∣che as theym nede for to haue to that vyage.
3931,And whan all the host was redy / the kyng ma¦de his two brethern chyef capytayns / that we¦re noble knyghtes of body & also bolde.
3932,That one was called Hunga / & that other Hubba.
3933,¶How the Danys tooke yorke / and slewe the kynge Osbrygt / and soone after slewe kynge Eelle.
3934,Sall was redy yt two bre¦thern toke leue ofthe kyn¦ge Godren.
3935,and wente to∣warde the see for to passe o¦uer in to Inglonde as fast as they myght spede Now is Buerne so welle comfor∣ted and faste hyed hym wyth the Danys that they ben arryued in the North coūtre & comen thrugh out Holdernes / and destroyed all the countree and brenned townes / & robbed folke / and sle∣we all that they myght take tyll that they came vnto yorke.
3936,And whan kyng Osbryght sawe them come / He tooke alle hys people that he had with hym & came out of the cytee & faught with them / but noo foyson he ne hadde ayenst them / and moche of the people that there was were slayne on bothe partyas.
3937,And kynge Os¦bryght hym self there was slayne / and the cyte anene was take and the Danys wente in.
3938,¶And there was also an other kynge in Nor∣thumberlonde / that Buernes frendes hadde those & helde hym for kynge / a man that was called Elle / for as moche as they wolde not to kynge Osbryght be attendan̄t / for the despyte that he had done vnto Buerne theyr cosyn.
3939,¶It befell thus that the kyng Elle was gone in to the wood hym for to dyosporte & of the ve¦nyson some he had taken.
3940,And as he sate in the wood at meete / to a knyght he sayde.
3941,we ha wel spedde and moche venyson taken.
3942,¶And with that worde came in a man & to hym sayd yf yeso moche of venyson haue wonne / an ho¦dred tymes so moche more ther ayenst haue ye loste.
3943,For all thys coūtree the Danys haue go∣ten / and taken the Cytee of yorke / and ayenst you shall it holde / that neuer ye shalcome ther¦in / and for soo moche they haue slayne kynge Osbryght.
3944,whan kynge Elle herde these wor¦des / he lete assemble all the folke of he coūtree and ordeyned all the power that he myght ha∣ue and wolde haue goten the towne of yorke with strength.
3945,But the Danys came out ano∣ne & yaue hym a strōge batayll.
3946,And selwe the kyng Elle & the moost parte of ye peple yt he had brought with hym.
3947,¶And the same place the∣re they were slayne / shalle euer more be called Elle crofte / and that place is a lytell from yor¦ke.
3948,¶And the rested the Danys neuer tyl that they hadde conquered all Northumberlonde.
3949,And in that countree they made wardeynes / and wente further in to the londe / and tooke Notyngham.
3950,And there they abode all ye wyn¦ter / and dyed all the sorowe that they myght ¶And after whan Somer tyme came they re¦meued frome Notyngham and came in to Ni¦choll and Lyndesey / and to Holonde.
